title,description
Trump says he's a cheerleader for USA. We need a quarterback,"John Avlon is a senior political analyst at CNN. The opinions expressed in this commentary are his own. View more opinion on CNN. (CNN)""I'm a cheerleader for the country,"" President Donald Trump said in his final coronavirus press conference in March — a month in which the US death toll increased from two to more than 4,000. Sign up for CNN Opinion's new newsletter.Join us on Twitter and Facebook It was a rare moment of honesty in a press conference typically full of falsehoods. Trump has always been a cheerleader — a hype man, a master marketer of himself which he parlayed into hyperpartisan politics and the presidency. But, with apologies to cheerleaders, Trump is confronting a crisis he can't hype his way out of. He is standing on the sidelines, out of his depth and now we're all paying the price. What we need in the presidency right now is a quarterback — someone who calmly calls strategic plays under intense pressure. Instead, we have Donald Trump. And his instincts are perfectly wrong for a pandemic. Pandemics don't care about partisan politics. But Trump definitely does. And so we've seen a politicized and often petty response to the crisis from the President, despite having some of the best scientific experts, Dr. Anthony Fauci and Dr. Debbie Birx, on his team. We've seen the President diss Democratic governors in the hardest-hit states — from New York to Washington to Michigan, saying ""when they disrespect me, they're disrespecting our government.""  Someone should remind him that to get respect you've got to give respect. But now we may be seeing that reflexive partisanship trickling down to the delivery of critical medical supplies at a time when body bags are building up around our hospitals. President Trump's adopted home of Florida — a critical swing state in the upcoming election with a Republican governor — has somehow speedily received 100% of its requested medical supplies like 430,000 surgical masks and 180,000 N95 respirators. That's great for Florida, which is scrambling amid rising cases after resisting social distancing efforts.  But somehow Massachusetts has only received 17% of what it requested — according to an analysis by the Washington Post — while Illinois Gov. J. B. Pritzker told CNN's Chris Cuomo that his state has only received 10% of what it requested, which could cause serious shortages as soon as next week. This is all coming as the administration is warning to expect deaths to rise sharply in the coming weeks, with President Trump even trying to spin fatalities under 100,000 as evidence they had done  ""a very good job."" Seriously.  We're going to have to come up with a better phrase than moving the ""goal posts,"" as the Washington Post called it, to cover such a ghoulish shift in position from a president who just weeks ago was assuring American's the coronavirus was totally ""under control"" and would ""miraculously"" disappear in April.  Well, it's now April — and America has more cases of coronavirus than anywhere in the world. This is surely not what he meant by America first. There is a grim, growing awareness — even acknowledged by the President — that things are going to get much, much worse in the coming weeks. Still, we've heard the President persist with his lies about readily available coronavirus tests against all evidence. He's repeatedly attacked the media for asking tough but totally fair questions about his handling of the crisis and bragged about his ratings. This isn't reality TV anymore, Mr. President: ratings don't matter; results do.  Lately he's taken to saying that no one knew that coronavirus would be so contagious. Everybody knew except, apparently, the President. But Trump's talking points filtered down through partisan media and became a deadly form of misinformation, leading to a stark partisan gap on how seriously people were taking coronavirus in mid-March. It wasn't that long ago that we heard absurd attempts to rationalize the projected death toll from folks like Wisconsin Sen. Ron Johnson who told his home state paper, the Milwaukee Journal-Sentinel, that ""getting coronavirus is not a death sentence except for maybe no more than 3.4% of our population (and) I think probably far less"" and added, ""we don't shut down our economy because tens of thousands of people die on the highways."" For the record, 3.4% of the current US population is 11.2 million. That's almost twice the population of Wisconsin. Luckily, it does appear that the fatality rate for coronavirus is far less than 3.4% — but that doesn't mean we should dismiss the deaths that are coming as acceptable collateral damage.  The understandable impulse to protect the economy from total free fall has led the Trump administration to embrace multitrillion-dollar bailouts and stimulus of the kind that many on the right attacked during the Bush and Obama response to the financial crisis. According to an administration official cited by the Wall Street Journal, Trump wants to further politicize the bailout by putting his name on all the checks that will be sent out. But political self-interest seems to have trumped any alleged fiscal conservative principles in the Republican Party long ago. Deficits and debt won't be discussed until there is a Democratic president. But they can't completely quit their impulse to own the libs by blaming the Obama administration for their testing and medical equipment fiascos while refusing to open Obamacare insurance exchanges for the rocketing number of new unemployed folks, according to new CNN reporting. We know that the Trump Justice Department is backing a lawsuit to destroy what's left of Obamacare (even though they'd rather wait for a final judgment until after the election). Give the current crisis, blocking people from getting access to open enrollment health care exchanges is petty and cruel. But with the gravity of the crisis taking hold inside Trumpland, it's the political impact of the pandemic that seems to be grabbing attention. According to the Los Angeles Times, ""One former White House official said Trump's reelection campaign advisers are terrified that the coronavirus outbreak, which so far has hit largely Democratic coastal cities hardest, will soon scythe across the rural areas that remain deeply loyal to Trump."" This is what happens to your brain on hyperpartisanship: Even pandemics are seen through a red state vs. blue state prism. It's a different kind of sickness that we don't have a cure for yet. But that doesn't mean we should think it's normal. It's not. Hype and hate won't stop this virus. Denial didn't work when President Trump tried it. And attacking Democratic governors won't help the country heal either. The coronavirus crisis reveals how stupid and self-defeating, hyperpartisan politics is when it comes to actually governing. If ever there was a time for nonideological problem solving and empathetic leadership, this is it. But we're in a crisis, stuck with the president we've got — and the costs will soon be clear to all of us. "
Car sales are plunging in the US because of coronavirus,"New York (CNN Business)US car sales fell sharply in March, the latest blow to the nation's economy from the coronavirus outbreak. Fiat Chrysler (FCAU) announced Wednesday that its first-quarter sales in the United States fell by 10% even though sales were up the first two months of the quarter. ""Strong momentum in January and February was more than offset by the negative economic impact of the coronavirus in March,"" said the company. General Motors (GM) reported a 7% drop in sales for the quarter, which it attributed to the sharp decline in March sales because of the virus outbreak.  Neither company would release the month-by-month sales figures. But Toyota (TM) reported results for both March and the quarter. Its daily sales pace plunged 32% in March, while its overall sales in the month fell 37%, hurt in addition by one fewer sales day in the month. Overall, its first-quarter sales fell 9%, similar to the declines reported at Ford and GM. So it's possible that Ford and GM suffered a similar decline in March to what Toyota reported. Many other automakers are due to report March or first-quarter sales Wednesday or Thursday. But none are likely to report good sales said Michelle Krebs, senior analyst for Cox Automotive. ""What did save them is that March started out pretty well, but then it fell off a cliff,"" said Krebs. Numerous factors are working against car sales. Top among those factors is that more than three-quarters of Americans live in states or cities where they are being told to stay at home except for essentials such as shopping for food, drugs or seeking medical care. In addition, many potential buyers are suffering economic setbacks because of the businesses they work for or own being closed. More than 3 million people recently filed for unemployment benefits, a record for one week. And that has frozen a lot of potential buyers out of the credit market because of their job or economic situation, Krebs said. ""The three things that most determine car sales are credit, employment and consumer confidence,"" she said. ""All are working against car sales. April is going to be even worse."" Fiat Chrysler responded with the most aggressive sales incentives yet on the market. The offer, rolled out Wednesday, allows eligible buyers to get a seven-year interest-free loan with payments deferred for 90 days. But buyers still need to qualify for the loan. The company said it is now offering a new online purchase option that allows buyers to purchase a vehicle off a dealer lot, conduct a vehicle trade-in process, apply for credit, receive price and payment estimates and review service protection plan options.  Most dealerships remain open, according to Fiat-Chrysler, but there are some states where dealerships have been ordered to close, Krebs said. About 37% people surveyed by Cox Automotive say they will wait going to a dealership, even for servicing on their car, because of health concerns. So the drop in car sales will probably continue, no matter the incentives that are offered, said Krebs. In addition to the economic headwinds, millions of additional workers who are still on the job are working from home, reducing their need for a car to commute to work or get children to school or other activities that have also been canceled. Another factor working against car sales is the recent stock market turmoil that hurt many people's savings, which can also reduce the willingness of people to purchase a big-ticket item like a new car. But if sales have ground to a near halt, so has the supply of vehicles for dealerships.  Virtually all automakers have halted production of new cars and trucks, as 97% of auto plants in North America and Europe have shut operations, according to research firm GlobalData. Automakers such as Ford (F), which stated plans to restart production in April, now say they have no definitive date for when they will be able to build cars again. "
This is no April Fool's. British American Tobacco is trying to make a coronavirus vaccine,"London (CNN Business)The maker of Camel, Lucky Strike and Pall Mall cigarettes is trying its hand at a new product: a coronavirus vaccine.  British American Tobacco (BTAFF) said Wednesday that its biotech subsidiary, Kentucky BioProcessing, is working on a potential vaccine for the novel coronavirus that can be produced in lab-grown plants closely related to tobacco.  The biotech firm, which helped develop an experimental Ebola treatment in 2014, joins dozens of other companies racing to develop a vaccine for Covid-19, which has now infected over 880,000 people globally and claimed more than 44,000 lives.  The development of vaccines typically takes years, but scientists and government authorities are hoping to fast-track the process to prevent a resurgence of the virus. Many experts say a vaccine is at least 18 months away, but others caution that even that timetable is optimistic. British American Tobacco said that its potential vaccine is currently being tested on animals, and it is ""exploring partnerships with government agencies"" to bring the vaccine to clinical studies. ""Vaccine development is challenging and complex work, but we believe we have made a significant break-through with our tobacco plant technology platform,"" said David O'Reilly, director of scientific research at British American Tobacco.  If clinical trials go ahead, the company said it hopes to produce up to 3 million doses of the vaccine per week beginning in June. Those doses will go to waste if the trials aren't successful, but it's ""a price worth paying"" to save time, O'Reilly said. In order to produce the potential vaccine, Kentucky BioProcessing cloned a portion of the novel coronavirus' genetic sequence and injected that into the plants, which developed a potential antigen — a substance that induces an immune response in the body and is needed to fight viruses. That is now being tested on rodents. According to the World Health Organization, plant-derived vaccines can be produced cheaply in very high amounts and are less likely than traditionally developed vaccines to contain contaminants that are harmful. Efforts by a cigarette maker to address an urgent public health issue could raise eyebrows, however. ""I would hope the politics of tobacco wouldn't interfere here and that people will determine objectively whether our technology could be helpful or not,"" O'Reilly told CNN Business. Kentucky BioProcessing was involved in the production of ZMapp in 2014, a treatment that was tested with some success on Ebola patients in the United States before it was abandoned in favor of more effective alternatives.  "
"A man was showing symptoms of coronavirus, but came to the hospital to see his partner give birth"," (CNN)A woman who gave birth in a New York hospital was discharged after she started showing symptoms of coronavirus.  Staff at Rochester's Strong Memorial Hospital later learned that her partner, who was present for her delivery, may have been exposed to the virus.  The couple and their baby were discharged from the hospital and asked to quarantine themselves, University of Rochester Medical Center spokesperson Barbara Ficarra told CNN.  Ficarra wouldn't confirm to CNN whether the woman's partner had known about his possible exposure before visiting her.  But another University of Rochester Medicine spokesperson told local paper the Democrat & Chronicle that he did, and that he told hospital staff he was healthy before visiting.  ""The mother became symptomatic shortly after delivering,"" spokesman Chip Partner told the paper. ""That's when the significant other admitted his potential exposure and that he was feeling symptomatic."" Neither Ficarra nor Partner confirmed whether the couple or their child had tested positive for coronavirus.  None of the obstetric staff involved in the unnamed woman's delivery have tested positive for coronavirus, Ficarra said. One staff member who showed symptoms quarantined themselves and later tested negative.  While their results were pending, though, hospital staff who came into contact with the couple and weren't symptomatic were required to continue to work while wearing masks and to submit to temperature checks twice a day, she said.  The couple spent their hospital stint in a private maternity ward, isolated from other patients, she said, so it's unlikely other patients were potentially exposed.  The hospital enacted a strict visitor policy  It's critical everywhere to curb coronavirus from spreading within hospitals, but it's especially dire in New York: The state is reporting the bulk of coronavirus cases in the US at over 80,000, according to CNN's tally.  As a result, University of Rochester Medicine Hospitals have restricted all visitors with few exceptions. One ""support person"" is permitted to be in the room for patients in labor, though they must be screened for symptoms twice daily. And once that support person is in the patient's room, they cannot leave.  Theirs isn't the most restrictive visitor policy tried in the state. The NewYork-Presbyterian healthcare system initially banned all visitors, including the partners of patients giving birth. Hospital officials said the extreme measure was enacted after patients who were asymptomatic later tested positive.  But New York Gov. Andrew Cuomo later issued an executive order to allow obstetric patients to have one visitor.  ""In no hospital in New York will a woman be forced to be alone when she gives birth,"" Cuomo tweeted. ""Not now, not ever.""  States get strict on stay-at-home orders Unknowingly spreading coronavirus is not a crime. But several states are toughening up on social distancing, and now, violating stay-at-home orders is an arrestable offense.  In Hawaii, all visitors or residents who travel between islands must quarantine themselves for 14 days. Anyone who violates that order could face a fine of up to $5,000 or a one-year prison sentence, if convicted.  In Florida, a megachurch pastor was arrested and charged with unlawful assembly and a violation of health emergency rules for holding services for hundreds of churchgoers. A Louisiana pastor who held services and said the virus was a political ploy was hit with similar charges. Police have broken up weddings and house parties in New Jersey and charged hosts with disorderly conduct.  "
GLAAD criticizes FDA ban on blood and plasma donations from gay and bisexual men during coronavirus pandemic," (CNN)Federal guidelines preventing men who have sex with other men from donating blood for clinical trials to treat coronavirus patients are discriminatory, LGBTQ advocacy group GLAAD said.CNN's Kara Scannell and Brynn Gingras contributed to this report. A petition, nearing 20,000 signatures, calls for an end to the ""antiquated ban"" for donating blood, the media advocacy organization for people who identify as gay, lesbian, bisexual, transgender and/or queer said.  The blood donation policy according to the FDA's guidelines, is an attempt to reduce the risk of HIV transmission.  ""The FDA cannot let an outdated and discriminatory ban on blood donations from gay and bi men get in the way of potentially life-saving treatment for the country's painful current health crisis,"" said GLAAD President and CEO Sarah Kate Ellis. ""Continuing to enforce this antiquated policy is dangerous, irresponsible, and flies in the face of recommendations from medical experts."" An FDA spokesperson, acknowledging the decline in blood and plasma donations across the US, told CNN, ""At this time, FDA's recommendations regarding blood donor deferral for men who have sex with men have not changed, but we are actively considering the situation as the outbreak progresses."" The FDA said last week that it was expediting blood plasma treatment for those seriously ill with coronavirus, and New York Gov. Andrew Cuomo said that the state is pursuing trials of the treatment as well.  The process, known as plasma-derived therapy or ""convalescent plasma,"" involves doctors testing the plasma of people who recovered for antibodies to the virus and then injecting that plasma, or a derivative of it, into the sick person. ""There are so many gay men in [New York] who have clean blood that we are ready to give,"" a 28-year-old man told CNN. The man said he tested positive for coronavirus on March 16 and has since recovered. Friends sent him links to calls for plasma donations to help save the lives of others; and though he wanted to take part, he soon came across the GLAAD announcement informing him that was not possible. He was furious. ""To know that I have blood right now inside my body that could potentially save the life or help someone else who has Covid-19,"" he said, ""I can't see it being anything other than homophobic beliefs."" The FDA began barring blood donations from men who have sex with men in 1985. A 2015 update of the policy made men who had not had sex with a man in at least 12 months eligible to donate blood. Only people who are eligible to donate blood are eligible to donate plasma, the FDA said in a news release. In the FDA's policy guidelines, the agency says that, ""Sex with an HIV-positive partner was associated with a 132-fold increase in risk for being HIV-positive, and a history of male-to-male sexual contact was associated with a 62-fold increase in risk."" ""If it really was about HIV, there would be a questionnaire about how much sex people have had,"" the man said. A group of senators, including Chris Coons, Amy Klobuchar, Bernie Sanders, Kamala Harris and Tammy Duckworth, signed a letter to the FDA on March 26 calling on the blood donation policy to be overturned because coronavirus is increasing a nationwide shortage of donated blood needed to save lives, according to the letter. ""We must take every possible step to secure our nation's blood supply in this critical time, and in order to do so, we need to shift away from antiquated and stigmatizing donation policies to ones that are scientifically sound, based on individual risk, and inclusive of all potential healthy blood donors,"" the letter said. "
A Facebook group matches RVs that are sitting idle with health care workers who need a place to isolate after long hospital shifts," (CNN)For Mark Quale, an emergency room physician in Burlington, North Carolina, coming home after a long day at the hospital was as stressful as work itself. With two young boys, a wife and elderly mother-in-law at home, he knew that if he wasn't cautious, he could spread the novel coronavirus to his own family.   So just as he arrived home from work, he would strip off his scrubs on the front porch, walk the specific route to his bathroom that was cordoned off by a tarp and wash all the germs off in the shower.  But today, Quale's mind is more at peace because he's able to isolate himself in a 31-foot travel trailer, and it's all thanks to a Facebook group called RVs 4 MDs, which matches health care workers to local RV owners. It started with a Facebook post From an ICU nurse in Twin Cities, Minnesota, to an ER doctor in Lynchburg, Virginia, RVs 4 MDs has matched dozens of health care workers with RVs, trailers and campers in their area. The Facebook group has already racked up nearly 3,000 members, an incredible number given the fact that the group was created just one week ago.  Last Monday, Emily Phillips, a mother of three from Celina, Texas, had posted on her Facebook asking if anybody had an RV her family could borrow as her husband was an ER doctor in the Dallas-Fort Worth area. A woman named Holly Haggard replied saying that Phillips could borrow hers.  ""Before the RV, I was a nervous wreck. Every time my husband walked in the door or put his hand on something, I thought we were going to get (Covid-19), including my baby,"" Phillips said. ""But now that he's in that RV, I'm back to my life, focused on my full-time job and my kids, and it's completely changed our situation.""  Knowing that there were countless other families in similar situations as hers, Phillips took on Haggard as her business partner and the two created RVs 4 MDs, which went live last Tuesday night.  In a matter of one week, the two Texan moms have built the simple Facebook group into a robust volunteer organization, complete with a board of directors and network of volunteers spanning across the nation.   Kindness from complete strangers Quale and his family were one of the first to be matched with an RV from a pair of kind strangers named Kelsey and Tim Webb. The two families had never met before, but Tim drove his trailer for 2.5 hours to Quale's home, gave Quale's wife, LaRayne, the keys and told her that they could use it for as long as they needed.  ""It was such an emotional thing to go through and to have someone offer up their RV completely for free, I felt so blessed,"" LaRayne, who now volunteers with RVs 4 MDs said. ""I asked if they wanted us to cover the insurance, but they wanted nothing... They said that they are praying for us and rooting for us.""  Kelsey, who normally makes money by renting out the trailer, said donating it to the Quales was a ""no-brainer.""  ""This family was in need and this was the one way we could help,"" Kelsey told CNN. ""You can't put a price tag on this... It just makes my heart happy that we're able to do this for them and give them peace of mind.""  Quale said he was extremely proud of his fellow health care workers on the front lines of this pandemic, but he added that this virus isn't something that can be defeated by the medical professionals alone.  ""(RVs 4 MDs) demonstrates that there is so much more to fighting the coronavirus than what happens at the hospital. There are layers upon layers of people fighting this in different ways. The reason I'm able to fight this right now is because of my wife and the work that these people are doing so we can focus on the medical portion and not have to worry about the rest,"" Quale said.  More volunteers are needed Every hour, there are new posts on the Facebook page from spouses and family members looking to be matched with an RV.  ""Looking for an RV in Grapevine Texas. Wife is camping out on the apt patio,"" one post reads. ""ER Doc in Rochester NY has been living in the garage for 3 weeks to protect our 3 kids and me,"" another post reads.  But with each new request, there's an equal amount of posts from RV owners saying that they want to help.  ""I have never seen anything like this in my entire life,"" Phillips said. ""The amount of people that are stepping up to help with a project where they aren't even getting a dime in return is unbelievable.""   To keep up with this project that has spread like wildfire, Phillips has recruited the help of attorneys, people in insurance and IT, but what she needs the most right now are more volunteers, she said.  ""We need more volunteers to head up the different states,"" Phillips said. ""A lot of people are out there with nothing to do. Well, we got something to do and it can really help a lot.""  Phillips and her team hope to expand the program into Canada, set up an official website, and even keep it going after the coronavirus crisis is over.  ""We're going to keep it running until there's not one person left on the planet that needs an RV or needs shelter,"" Phillips said. ""Whether it's a storm or whatever the case is, we'll have this organization for the next crisis because there's always going to be a need for shelter.""  "
What Trump can do now to rescue America's factories and farms,"Mary E. Lovely is a professor of economics at Syracuse University and non-resident senior fellow at the Peterson Institute for International Economics. The opinions expressed in this commentary are her own. As federal, state and local officials race to contain the spread of Covid-19, intense efforts have begun to address the mounting economic damage of the virus. President Trump and the US Congress have passed a $2 trillion fiscal stimulus package to funnel immediate help to American families while minimizing closures and layoffs. But Washington should not overlook one other simple and effective tool: suspending the remaining tariffs on Chinese imports.  Although President Trump signed a ""phase one"" agreement with China in January, high tariffs remain on an original $350 billion in US imports. Getting rid of these tariffs will remove a painful yoke that had depressed American manufacturing and farming long before the coronavirus hit our shores. What's more, tariff rollbacks signal a desire to reduce mounting US-China trade tensions, offering a much-needed model of global cooperation at a time of shared crisis. Trump's trade war with China never made sense for America's factories. US tariffs on Chinese imports currently average about 20% and continue to cover two-thirds of US purchases. These taxes fall heaviest on parts and components used by US manufacturers. Firms facing Trump's tariffs are central to American manufacturing — they account for 84% of all exports and 65% of manufacturing employment. As these businesses experience unprecedented disruption from the coronavirus, they face significant financial and operational consequences, with no end in sight. A recent analysis of the 2018-19 tariff hikes suggests that import tax relief would be a meaningful way to assist American factories: Estimated tariffs paid by affected manufacturers were about $1,600 per worker per year. With tariff relief, these funds could be directed to assisting workers and meeting new health and hygiene needs. Suspending tariffs would put the onus on China to remove retaliatory tariffs on American agricultural exports, a move it would be likely to take. Throughout the trade war, China responded proportionally to each US action, meeting each tariff increase and rollback in kind. Given this pattern, China can be expected to cut its own tariffs in response to American actions to keep trade flowing during the crisis. Trump's trade war has put US farms at risk since its inception in 2018. Farm bankruptcies have risen, despite the distribution of emergency aid to farmers, and the administration has found it difficult to locate alternative markets for American grains and meats. As the economic impact of the coronavirus reduces consumption in major American agricultural markets around the globe, farmers are at heightened risk of further losses. The American Farm Bureau Federation states that ""COVID-19 impact on agriculture includes a rapid and unanticipated decline in commodity prices."" With the Chinese economy already beginning to recover from the virus, reopening their market to US exports will help to counteract these price declines and help American farmers avoid further unnecessary bankruptcies. President Trump can suspend his China tariffs immediately. He levied the tariffs through his executive powers, and he can simply suspend them as he suspended tariffs that had been teed up for implementation in December 2019. China already promised in the ""phase one"" agreement to purchase hundreds of billions of dollars' worth of US goods, and suspending tariffs would help ensure that they meet those targets. Moreover, the president can restore tariffs at any time, at any level, if they are deemed necessary. How America treats its trading partners now will resonate for years to come. Already, protectionism, not cooperation, is the order of the day. Global Trade Alert reports that, to date, 24 nations have placed limits on the export of medicine, medical equipment and supplies, a clear sign that international coordination is dangerously lacking at a time when we desperately need it. By dropping its harmful China tariffs, the United States can regain leadership of a system that is rudderless in a time of shared crisis. With Americans facing the unprecedented challenges of Covid-19 containment, and the deep recession that is expected to follow, it is time for President Trump to end a harmful policy that has outlived any usefulness. Suspending US tariffs on Chinese imports is a simple, immediate step that will quickly ease pain at home and demonstrate American leadership to a world sadly in need. "
What does it mean to be furloughed?," (CNN)Companies are furloughing thousands of workers due to the economic fallout from the coronavirus pandemic. How small business owners may benefit from the $2 trillion federal aid packageMany of us are now WFH. Here's how to ask for the schedule you needThese Americans say $1,200 isn't enough. But it's better than nothing Macy's, Gap (GPS) and Kohl's (KSS) announced Monday they are furloughing workers, while hotel chain Marriott (MAR) also recently announced that tens of thousands of workers are facing a similar fate.  But what exactly does it mean to be furloughed and how does it differ from being laid off?  Layoff vs. furlough A layoff is a separation of employment that can be either temporary or permanent. This means the worker is not kept on the company's payroll, but could be rehired at a later date.  A furloughed worker is still considered an employee, but they have been forced to take a break from work without pay or to reduce their hours.  Furloughs tend to last less than six months since any period longer than that could trigger employment laws that mandate companies to provide the type of advance notification that can be required ahead of mass layoffs, according to Laura O'Donnell, partner at law firm Haynes and Boone.  Furloughed workers also usually get to keep their seniority status and return to the same pay level when they are brought back. Generally, furloughed workers' retirement benefits stay in place for as long as they are on the payroll, but the status of their health coverage can depend on the company's plans. Many require employees to work a certain number of hours to be eligible for coverage, but some insurance companies are loosening their requirements for furloughed workers due to the outbreak, O'Donnell said.  Kohl's, for example, said it will continue to provide existing health benefits to its furloughed associates, and Macy's (M) said furloughed workers who are enrolled in its health plan will receive coverage, with the company covering 100% of the premium through at least May.  Why do a furlough?  Furloughing workers is a cost-saving move that can help a company weather a rough patch.  The decision is usually temporary with the hope that workers will eventually be brought back once economic conditions improve.  It can also be good for morale.  ""If they are expecting it to be much more temporary and short term, it is easier to bring folks back than it is to go through the rehire process,"" said Michael Schmidt, vice chair of the labor and employment department at the law firm Cozen O'Connor.  What furloughed workers should know   While state laws vary, furloughed workers can usually apply for unemployment benefits, according to Schmidt.   Furloughed employees are not supposed to work during their time off and, unless you are contractually obligated to a company, you can still look for another job while being furloughed.  Also, employers cannot discriminate when it comes to who gets furloughed.  ""Companies want to make sure they are not discriminating or retaliating in their employment decisions, including who is getting furloughed and who is not,"" warned Schmidt. ""If it's not the entire workforce, make sure there is legitimate business interest in making the selection."" "
FDA calls for heartburn drug Zantac to be pulled from market immediately," (CNN)The US Food and Drug Administration is requesting that manufacturers pull all prescription and over-the-counter ranitidine drugs, known by the brand name Zantac, from the market immediately, the agency announced on Wednesday.Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team. The FDA noted that an ongoing investigation has determined that levels of a contaminant in the heartburn medications increase over time and when stored at higher-than-normal temperatures, pose a risk to public health.  The contaminant, N-nitrosodimethylamine or NDMA, is a probable human carcinogen and the FDA has been investigating levels of it in ranitidine since the summer of 2019. ""We didn't observe unacceptable levels of NDMA in many of the samples that we tested,"" Dr. Janet Woodcock, director of the FDA's Center for Drug Evaluation and Research, said in Wednesday's announcement. ""However, since we don't know how or for how long the product might have been stored, we decided that it should not be available to consumers and patients unless its quality can be assured,"" Woodcock said in part. ""The FDA will continue our efforts to ensure impurities in other drugs do not exceed acceptable limits so that patients can continue taking medicines without concern."" According to the FDA's announcement, letters are now being sent to all manufacturers of ranitidine requesting that they withdraw products from the market, and consumers are advised to stop taking any ranitidine tablets or liquid medications they currently have. The FDA said to dispose of them properly and not buy more. Due to the coronavirus pandemic, the FDA said don't return your medicines to a ""drug take-back location,"" but rather follow disposal instructions in the medication guide or insert -- or follow the FDA's recommended safe disposal steps on its website. Consumers who wish to continue treating their condition should consider using other approved medications, according to the FDA.  To date, the FDA has not found NDMA in some other products, such as famotidine or Pepcid, esomeprazole or Nexium, or omeprazole or Prilosec. For patients taking prescription ranitidine, the FDA said to talk to your doctor about other treatment options before stopping the medicine. ""There are multiple drugs approved for the same or similar uses as ranitidine that do not carry the same risks from NDMA,"" according to the FDA. In September, CVS Pharmacy, Walgreens and Walmart announced they would no longer sell Zantac and other over-the-counter ranitidine medications due to concerns they might contain NDMA. Then in October, drugmaker Sanofi voluntarily recalled Zantac OTC sold in the United States and Canada. At the time, the company said it issued the recall ""due to inconsistencies in preliminary test results."" "
Sailors from aircraft carrier hit by coronavirus outbreak to quarantine in Guam hotels,"Washington (CNN)Some of the sailors from the USS Theodore Roosevelt will be quarantined in hotel rooms in Guam as the number of coronavirus cases aboard the aircraft carrier approaches 100, a deteriorating situation that led the ship's commanding officer to issue a stark warning to top Navy leadership about the need to get sailors off the ship.CNN's Jason Carroll, Aaron Cooper and Mindy Agunon in Guam contributed to this report. Acting Secretary of the Navy Thomas Modly said Wednesday that 93 sailors from the ship have tested positive for the virus to date, representing more than 10% of all cases across the entire US military. A senior defense official told CNN that the Navy expected the number of cases to rise as more test results come in. Modly said 1,273 of the ship's roughly 4,800 crew members have been tested for the virus so far and the Navy was still awaiting the results of some of those tests.  He said about 1,000 sailors have been evacuated form the ship and moved ashore to Guam where the ship is currently in port. ""We already have nearly 1,000 personnel off the ship right now. And in the next couple of days we expect to have 2,700 of them off the ship,"" Modly told reporters at the Pentagon. Some sailors will have to remain on the ship The Chief of Naval Operations, Adm. Mike Gilday, said that the ship could not be evacuated in its entirety due to the need to continue to perform essential tasks such as the operation of the aircraft carrier's nuclear reactor.  He said that about 1,000 sailors would have to remain on the ship to perform, about 500 more than was proposed by the ship's commanding officer Capt. Brett Crozier in a recent memo. ""This ship has weapons on it, it has munitions on it, it has expensive aircraft, it has a nuclear power plant. It requires a certain amount of people on that ship to maintain the safety and security of the ship,"" Modly said. The outbreak on the ship is escalating rapidly. Last week the Pentagon confirmed three sailors on the Roosevelt had tested positive and that number had risen to 25 two days later. That number rose to at least 70 on Tuesday and nearly 100 on Wednesday. On Monday, a US defense official told CNN that a second US aircraft carrier, the USS Ronald Reagan, is also facing a ""handful"" of positive cases. As of Wednesday morning, 814 US service members in total had tested positive for the virus, according to the Pentagon. Senior Navy officials have said that the absence of housing capacity in Guam was one of the reasons that getting sailors off the ship was taking longer than Crozier would have liked. ""I know that our command organization has been aware of this for about 24 hours and we have been working actually the last seven days to move those sailors off the ship and get them into accommodations in Guam. The problem is that Guam doesn't have enough beds right now and were having to talk to the government there to see if we can get some hotel space, create tent-type facilities,"" Modly told CNN's John King Tuesday. Guam's Governor Lou Leon Guerrero said at a press conference Wednesday she will allow sailors from the ship to stay in vacant hotel rooms in Guam if they test negative for the virus and undergo a 14-day quarantine. She added that those sailors will continue to be required to have daily medical checks.  Navy officials have stressed that even if there was the capacity to evacuate all of the sailors that would not be possible due to the fact some sailors would be needed to stay aboard to operate the ship's nuclear reactor and perform other essential tasks. Sailor tells CNN 'more will get infected' A sailor assigned to the ship told CNN that more sailors are likely to be infected given how they are currently being housed.  The sailor, who had been moved off the ship to a makeshift dormitory in a gym in Guam, did not want to be identified speaking publicly without permission.  He has been in the converted gym since Saturday, along with more than 150 other sailors. Some of the people in his facility who were coughing and had fevers, but said they felt fine, later tested positive, he said. Other sailors who didn't show any symptoms later tested positive as well. There is no space in the gym to practice proper social distancing and they do not have proper cleaning supplies to decontaminate areas, he said.  ""More will get infected based on the current conditions -- not a matter of if, but when,"" he said.  CNN reported Tuesday that Crozier had warned Navy leadership that decisive action is required to save the lives of the ship's crew. ""We are not at war. Sailors do not need to die. If we do not act now, we are failing to properly take care of our most trusted asset — our Sailors,"" Crozier wrote in a memo to the Navy's Pacific Fleet, three US defense officials have confirmed to CNN. The commander of US Pacific Fleet declined to say how many sailors aboard the nuclear-powered aircraft carrier had tested positive for the virus but said that no one had been hospitalized.  ""What I will tell you is I have no sailors hospitalized, I have no sailors on ventilators, I have no sailors in critical condition, no sailors in an ICU status on the Theodore Roosevelt,"" Adm. John Aquilino told reporters Tuesday. This story has been updated with comments from a sailor who's been removed from the carrier. "
